month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
2011-08-01;169;-0.008343195266272195;-10.165680473372781;2011-08-01;Ambos sexos;269.0;1.0;21.0;43.0;25.0;29.0;24.0;25.0;11.0;18.0;14.0;22.0;19.0;12.0;5.0;0.0;
2011-09-01;148;-0.010202702702702708;-10.513513513513514;2011-09-01;Ambos sexos;263.0;0.0;15.0;47.0;18.0;22.0;29.0;29.0;18.0;19.0;13.0;24.0;13.0;9.0;5.0;2.0;
2011-10-01;156;-0.009871794871794877;-12.75;2011-10-01;Ambos sexos;259.0;0.0;24.0;40.0;24.0;20.0;25.0;18.0;20.0;16.0;11.0;18.0;21.0;14.0;6.0;2.0;
2011-11-01;214;-0.011682242990654205;-14.546728971962617;2011-11-01;Ambos sexos;242.0;0.0;21.0;43.0;21.0;22.0;26.0;18.0;11.0;15.0;15.0;23.0;18.0;8.0;1.0;0.0;
2011-12-01;246;-0.018130081300812975;-21.65447154471545;2011-12-01;Ambos sexos;259.0;1.0;25.0;38.0;39.0;21.0;28.0;15.0;16.0;13.0;14.0;20.0;15.0;10.0;4.0;0.0;
2012-01-01;231;-0.018571428571428548;-23.571428571428573;2012-01-01;Ambos sexos;285.0;0.0;34.0;41.0;29.0;17.0;32.0;24.0;20.0;11.0;18.0;20.0;21.0;11.0;5.0;2.0;
2012-02-01;183;-0.011803278688524599;-11.53551912568306;2012-02-01;Ambos sexos;265.0;1.0;36.0;40.0;28.0;24.0;28.0;23.0;18.0;12.0;12.0;18.0;13.0;7.0;4.0;1.0;
2012-03-01;181;-0.012375690607734809;-15.756906077348066;2012-03-01;Ambos sexos;309.0;1.0;21.0;51.0;34.0;30.0;28.0;32.0;18.0;14.0;17.0;24.0;23.0;13.0;2.0;1.0;
2012-04-01;212;-0.014764150943396222;-15.028301886792454;2012-04-01;Ambos sexos;291.0;1.0;23.0;50.0;29.0;37.0;22.0;23.0;17.0;13.0;19.0;17.0;20.0;17.0;3.0;0.0;
2012-05-01;178;-0.010617977528089892;-10.101123595505618;2012-05-01;Ambos sexos;324.0;0.0;26.0;55.0;43.0;33.0;33.0;16.0;20.0;17.0;24.0;20.0;24.0;8.0;4.0;1.0;
2012-06-01;149;-0.015369127516778538;-14.228187919463087;2012-06-01;Ambos sexos;310.0;0.0;30.0;49.0;29.0;28.0;23.0;32.0;20.0;16.0;14.0;26.0;22.0;13.0;7.0;1.0;
2012-07-01;141;-0.008865248226950357;-7.98581560283688;2012-07-01;Ambos sexos;338.0;0.0;28.0;48.0;37.0;31.0;27.0;26.0;22.0;25.0;19.0;33.0;24.0;17.0;1.0;0.0;
2012-08-01;160;-0.005625000000000001;-2.4875;2012-08-01;Ambos sexos;312.0;1.0;27.0;35.0;25.0;27.0;41.0;22.0;18.0;20.0;22.0;23.0;26.0;18.0;7.0;0.0;
2012-09-01;162;-0.010493827160493832;-9.685185185185185;2012-09-01;Ambos sexos;297.0;0.0;15.0;47.0;30.0;36.0;22.0;28.0;18.0;23.0;22.0;24.0;16.0;10.0;4.0;2.0;
2012-10-01;199;-0.011708542713567843;-12.07035175879397;2012-10-01;Ambos sexos;267.0;0.0;18.0;42.0;31.0;24.0;29.0;16.0;19.0;15.0;17.0;19.0;23.0;10.0;3.0;1.0;
2012-11-01;360;-0.009583333333333326;-12.180555555555555;2012-11-01;Ambos sexos;250.0;0.0;22.0;37.0;21.0;16.0;26.0;20.0;22.0;15.0;23.0;15.0;20.0;5.0;6.0;2.0;
2012-12-01;240;-0.013041666666666668;-17.175;2012-12-01;Ambos sexos;291.0;1.0;25.0;53.0;28.0;37.0;27.0;26.0;18.0;12.0;7.0;29.0;16.0;9.0;2.0;1.0;
2013-01-01;171;-0.015672514619883036;-13.035087719298245;2013-01-01;Ambos sexos;344.0;2.0;23.0;45.0;30.0;41.0;36.0;29.0;27.0;26.0;28.0;23.0;20.0;12.0;2.0;0.0;
